start_time,end_time,start_frame,end_frame,passer_id,receiver_id,passer_team,receiver_team,distance_m,pass_type,outcome
00:00,00:01,20,28,6,12,Team B,Team B,15.33,short,successful
00:01,00:02,47,61,12,14,Team B,Team B,3.56,short,successful
00:02,00:02,65,66,14,22,Team B,Team A,4.67,short,intercepted
00:03,00:03,78,83,8,15,Team A,Team A,4.62,short,successful
00:03,00:03,87,89,15,4,Team A,Team B,2.62,short,intercepted
00:03,00:03,91,95,4,2,Team B,Team B,30.55,medium,successful
00:05,00:05,129,134,4,9,Team B,Team B,45.92,long,successful
00:06,00:06,159,162,4,7,Team B,Team B,8.89,short,successful
00:06,00:07,169,176,7,9,Team B,Team B,36.09,long,successful
00:07,00:08,185,200,7,12,Team B,Team B,20.82,medium,successful
00:08,00:08,212,214,12,19,Team B,Team B,26.62,medium,successful
00:10,00:10,260,266,9,4,Team A,Team A,37.68,long,successful
00:12,00:13,321,325,2,19,Team B,Team B,6.77,short,successful
00:14,00:14,357,358,9,4,Team B,Team A,44.23,long,intercepted
00:14,00:16,358,408,4,,Team A,,,unknown,lost
00:19,00:19,487,488,2,16,Team B,Team B,3.42,short,successful
00:20,00:22,503,553,9,,Team B,,,unknown,lost
00:22,00:22,564,573,9,16,Team B,Team B,2.45,short,successful
00:23,00:23,588,589,16,10,Team B,Team A,30.21,medium,intercepted
00:25,00:25,639,642,2,19,Team B,Team B,0.88,short,successful
00:27,00:28,686,712,2,12,Team B,Team B,23.55,medium,successful
00:29,00:29,745,746,12,11,Team B,Team B,4.89,short,successful
