time,from,to
4.28,2,8
6.72,12,2
8.55,2,150
9.66,150,1
16.76,158,242
38.48,242,626
39.24,201,95
40.52,95,646
43.72,395,652
44.62,753,688
45.41,652,785
46.66,553,868
49.9,905,839
62.34,839,997
66.69,880,1126
68.72,1126,839
76.83,1074,970
87.1,1147,1259
93.24,990,1147
98.07,1147,1443
115.76,1443,2313
119.14,2313,1962
121.45,1962,2313
123.76,1968,2455
125.62,2455,2500
126.79,2455,2478
131.69,2478,2581
133.45,2581,1968
134.45,1968,2600
135.28,2319,2461
136.48,1557,2558
137.86,2558,1557
138.9,2499,2461
139.83,2499,2461
140.55,2646,2553
141.69,2558,2553
144.59,2896,1557
145.31,2553,2461
146.38,2553,2499
151.14,2499,3016
152.48,3016,2553
154.24,2553,3051
168.28,3016,3181
180.79,3181,3317
182.03,3317,3349
183.21,3246,3321
198.72,3321,3246
199.52,3246,3298
203.66,3298,3246
204.72,3246,3298
206.55,3298,3321
218.83,3321,3298
231.41,3298,3246
236.38,3246,4144
237.59,4144,3246
238.79,3246,3921
239.59,4304,4145
240.41,4145,4349
241.38,4358,4142
242.24,3921,4142
243.0,4142,4416
244.41,4416,4307
246.31,4304,4421
247.03,4529,4498
248.0,4421,4577
249.41,4529,4464
250.14,4464,4488
251.41,4488,4421
257.86,4421,4676
269.31,4676,4708
278.41,4708,4731
284.1,4731,5049
286.28,5049,5008
295.0,5008,5349
297.76,5349,5049
308.76,5049,5349
